Variable,OLS_β,OLS_SE,OLS_p,Std_β,Poisson_IRR,Poisson_p,NegBin_IRR,NegBin_p,FMI
general_fairness,0.09991110072600115,0.021314351556877827,7.698473412531825e-06,0.08520424818402565,1.0637996526613134,8.37755013693986e-06,1.0681128719123716,4.104275278971059e-06,0.4177824499210361
meritocracy_index,0.11353796186067944,0.04571420196062317,0.013998898758529554,0.043415164043111104,1.0775574932370562,0.011970463810456078,1.0765220957473844,0.015046849730349754,0.3464430909762156
income_fairness,-0.02832052579104346,0.046199297098631874,0.5416434894152302,-0.011836812412072465,0.9846912438728641,0.6034868601251833,0.9868798996098854,0.6704591084258045,0.5044789554201428
