CGSS2023编码表,,,,,,,
序号,调查方式,问卷题号,问卷题目,变量名,变量标签,取值标签,值标签
171,入户调查/电话调查（随机）,A425,您是否同意以下说法：夫妻应该均等分摊家务,a425,您是否同意-夫妻应该均等分摊家务,,
172,入户调查/电话调查,A43a,在我们的社会里，有些人处在社会的上层，有些人处在社会的下层。综合看来，在目前这个社会上，您本人处于社会的哪一层？,a43a,您认为自己目前处于哪个等级上,a43lab,"-3 拒绝回答
-2 不知道
1 1分
2 2分
3 3分
4 4分
5 5分
6 6分
7 7分
8 8分
9 9分
10 10分"
173,入户调查/电话调查,A43b,在我们的社会里，有些人处在社会的上层，有些人处在社会的下层。您认为您10年前在哪个等级上？,a43b,您认为您10年前处于哪个等级上,,
174,入户调查/电话调查,A43c,在我们的社会里，有些人处在社会的上层，有些人处在社会的下层。您认为您10年后将会在哪个等级上？,a43c,您认为您10年后将会在哪个等级上,,
175,入户调查/电话调查,A43d,在我们的社会里，有些人处在社会的上层，有些人处在社会的下层。您认为在您14岁时，您的家庭处在哪个等级上？,a43d,您认为在您14岁时，您的家庭处在哪个等级上,,
176,入户调查/电话调查,A43e,综合看来，在目前这个社会上，您本人的社会经济地位属于：,a43e,您本人目前社会经济地位,a43elab,"-3 拒绝回答
-2 不知道
1 上层
2 中上层
3 中层
4 中下层
5 下层"
177,入户调查/电话调查（随机）,A44,上次居委会选举/村委会选举，您是否参加了投票？,a44,上次居委会选举/村委会选举，您是否参加了投票,a44lab,"-2 不知道
1 是
2 否
3 没有投票资格"
178,入户调查,A45,请问您是不是工会会员？,a45,请问您是不是工会会员,a45lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
1 是
2 以前是，现在不是
3 从来都不是"
179,入户调查/电话调查,A46,如果有人在公共场所发布批评政府的言论，政府不应该干涉。您同意吗？,a46,您是否同意以下说法-如果有人在公共场所发布批评政府的言论，政府不应该干涉。,a46lab,"-3 拒绝回答
-2 不知道
1 完全不同意
2 比较不同意
3 无所谓同意不同意
4 比较同意
5 完全同意"
180,入户调查/电话调查,A47,生多少孩子是个人的事，政府不应该干涉。您同意吗？,a47,您是否同意以下说法-生多少孩子是个人的事，政府不应该干涉。,a47lab,"-3 拒绝回答
-2 不知道
1 完全不同意
2 比较不同意
3 无所谓同意不同意
4 比较同意
5 完全同意"
181,入户调查/电话调查,A48,在哪里工作和生活是个人的自由，政府不应该干涉。您同意吗？,a48,您是否同意以下说法-在哪里工作和生活是个人的自由，政府不应该干涉。,a48lab,"-3 拒绝回答
-2 不知道
1 完全不同意
2 比较不同意
3 无所谓同意不同意
4 比较同意
5 完全同意"
182,入户调查,A49,您觉得自己听普通话的能力是什么水平？,a49,您觉得自己听普通话的能力是什么水平,a49lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
1 完全听不懂
2 比较差
3 一般
4 比较好
5 很好"
183,入户调查,A50,您觉得自己说普通话的能力是什么水平？,a50,您觉得自己说普通话的能力是什么水平,a50lab,"-5 电话调查未调查
1 完全不能说
2 比较差
3 一般
4 比较好
5 很好"
184,入户调查,A51,您觉得自己听英语的能力是什么水平？,a51,您觉得自己听英语的能力是什么水平,a51lab,"-5 电话调查未调查
-2 不知道
1 完全听不懂
2 比较差
3 一般
4 比较好
5 很好"
185,入户调查,A52,您觉得自己说英语的能力是什么水平？,a52,您觉得自己说英语的能力是什么水平,a52lab,"-5 电话调查未调查
-2 不知道
1 完全不能说
2 比较差
3 一般
4 比较好
5 很好"
186,入户调查,A53,您上一周是否为了取得收入而从事了一小时以上的劳动（包括参军）？,a53,您上一周是否为了取得收入而从事了一小时以上的劳动（包括参军）,a53lab,"-5 电话调查未调查
1 未从事任何以获得经济收入为目的的工作
2 带薪休假，学习、临时停工或季节性歇业等
3 停薪休假，学习、临时停工或季节性歇业等
4 从事了以取得经济收入为目的的工作"
187,入户调查,A53aa,一般每周的工作时间是多少小时？,a531,如果您上一周为了取得收入而从事了一小时以上的劳动，一般每周的工作多少小时,a531lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
188,入户调查,A53a,在您有工作的时候，通常情况下，您一周的工作时间大概有多少个小时，包括加班时间,a53a,您有工作的时候，一般每周的工作多少小时，包括加班时间,a53alab,"-5 电话调查未调查
-3 拒绝回答
-1 不适用"
189,入户调查,A54,您上一周没有工作的原因是什么？,a54,您上一周没有工作的原因,a54lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 在校学习
2 丧失劳动能力
3 毕业后未工作
4 因单位原因失去原工作
5 因个人原因失去原工作
6 承包土地被征用
7 离/退休
8 料理家务
9 其他"
190,入户调查,A54a,您上一周没有工作的原因是什么？其他，请注明,a54a,您上一周没有工作的原因-其他，请注明,,
191,入户调查,A55,到目前为止，您连续没有工作的时间有多少个月？,a55,到目前为止，您连续没有工作的时间有多少个月,a55lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
997 从未工作过"
192,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）未找过工作,a561,您在最近三个月内采取过以下哪些方式寻找工作-未找过工作,a56lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 是
2 否"
193,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）在职业介绍机构登记求职,a562,您在最近三个月内采取过以下哪些方式寻找工作-在职业介绍机构登记求职,,
194,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）委托亲友找工作,a563,您在最近三个月内采取过以下哪些方式寻找工作-委托亲友找工作,,
195,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）利用网络及其他媒体求职,a564,您在最近三个月内采取过以下哪些方式寻找工作-利用网络及其他媒体求职,,
196,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）参加招聘会、或者自己直接上门询问,a565,您在最近三个月内采取过以下哪些方式寻找工作-参加招聘会或者自己直接上门询问,,
197,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）为自己经营做准备,a566,您在最近三个月内采取过以下哪些方式寻找工作-为自己经营做准备,,
198,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）其他,a567,您在最近三个月内采取过以下哪些方式寻找工作-其他,,
199,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）其他，请注明,a567a,您在最近三个月内采取过以下哪些方式寻找工作-其他，请注明,,
200,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）不知道,删除变量,,,
201,入户调查,A56,您在最近三个月内采取过以下哪些方式寻找工作？（多选）拒绝回答,删除变量,,,
202,入户调查,A57a,如有适合的工作，您能否在两周内开始工作？,a57a,如有适合的工作，您能否在两周内开始工作,a57alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 能
2 不能"
203,入户调查,A58,您的工作经历及状况是？,a58,您的工作经历及状况,a58lab,"-5 电话调查未调查
1 目前从事非农工作
2 目前务农，曾经有过非农工作
3 目前务农，没有过非农工作
4 目前没有工作，而且只务过农
5 目前没有工作，曾经有过非农工作
6 从未工作过"
204,入户调查,A58a,您目前是否同时兼有多份工作？,a58a,您目前是否兼有多份工作,a58alab,"-5 电话调查未调查
-2 不知道
-1 不适用
1 没有
2 有"
205,入户调查,A58aa,一共兼有多少份工作？,a58aa,您目前是否兼有多份工作-有，一共兼有多少份工作,a58aalab,"-5 电话调查未调查
-2 不知道
-1 不适用"
206,入户调查,A58b,那您目前最主要的工作大约占您职业收入的百分之多少？,a58b,您目前最主要的工作大约占您职业收入的百分之多少,a58blab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
0 最主要的工作是务农"
207,入户调查,A59a,下列各种情形，哪一种更符合您目前的工作的状况？,a59a,下列各种情形，哪一种更符合您目前工作的状况,a59alab,"-5 电话调查未调查
-3 拒绝回答
-1 不适用
1 自己是老板（或者是合伙人）
2 个体工商户
3 受雇于他人（有固定雇主）
4 劳务工/劳务派遣人员
5 零工、散工（无固定雇主的受雇者）
6 在自己家的生意/企业中工作/帮忙，领工资
7 在自己家的生意/企业中工作/帮忙，不领工资
8 自由职业者
9 其他"
208,入户调查,A59aa,下列各种情形，哪一种更符合您目前的工作的状况？其他，请注明,a59aa,下列各种情形，哪一种更符合您目前工作的状况-其他，请注明,,
209,入户调查,A59a1,请问您雇有的雇员数是：,a59a1,下列各种情形，哪一种更符合您目前工作的状况：雇有雇员多少人,a59a1lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 雇有人数超过五位数"
210,入户调查,A59b,您目前的工作是否与用人单位或雇主签订了书面劳动合同？,a59b,您目前的工作是否与用人单位或雇主签订了书面劳动合同,a59blab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 没有签订劳动合同
2 签有无固定期限劳动合同
3 签有固定期限劳动合同"
211,入户调查,A59ba,期限为多少个月？,a59ba,签有固定期限劳动合同，期限是多少个月,a59balab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
212,入户调查,A59c,从您第一份非农工作到您目前的工作，您一共工作了多少年？,a59c,从您第一份非农工作到目前的工作，您一共工作了多少年,a59clab,"-5 电话调查未调查
-2 不知道
-1 不适用"
213,入户调查,A59e,您目前工作的性质是？,a59e,您目前工作的性质是,a59elab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 全职工作
2 非全职工作"
214,入户调查,A59e1,您如果担任了行政职务，您的行政级别是：,a59e1,您的行政级别是,a59e1lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
0 没有担任任何行政职务
1 无级别
2 股级
3 副科级
4 正科级
5 副处级
6 正处级
7 副司局级及以上"
215,入户调查,A59f,在您目前的工作中，您的管理活动情况是：,a59f,在您目前的工作中，您的管理活动情况是,a59flab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 只管别人，不受别人管理
2 既管理别人，又受别人管理
3 只受别人管理，不管理别人
4 既不管理别人，又不受别人管理"
216,入户调查,A59f1,请问您管理的人数是：,a59f1,在您目前的工作中，您的管理活动情况是-管理多少人,a59f1lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 管理人数超过五位数"
217,入户调查,A59j,您目前工作的单位或公司的单位类型是：,a59j,您目前工作的单位或公司的单位类型是,a59jlab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 党政机关
2 企业
3 事业单位
4 社会团体、居/村委会
5 无单位/自雇（包括个体户）
6 军队
7 其他"
218,入户调查,A59ja,您目前工作的单位或公司的单位类型是：其他，请注明,a59ja,您目前工作的单位或公司单位类型-其他，请注明,,
219,入户调查,A59k,您目前工作的单位或公司的所有制性质是：,a59k,您目前工作的单位或公司的所有制性质是,a59klab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 国有或国有控股
2 集体所有或集体控股
3 私有/民营或私有/民营控股
4 港澳台资或港澳台资控股
5 外资所有或外资控股
6 其他"
220,入户调查,A59ka,您目前工作的单位或公司的所有制性质是：其他，请注明,a59ka,您目前工作的单位或公司所有制性质是-其他，请注明,,
221,入户调查,A59L,您目前工作的单位或公司有多少员工？,a59l,您目前工作的单位或公司有多少员工,a59llab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 员工人数超过五位数"
222,入户调查,A59m,到目前为止，您在目前的工作单位或公司工作了多少年？,a59m,您在目前的工作单位或公司工作了多少年,a59mlab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
223,入户调查,A60a,下列各种情形，哪一种更符合您最近那份非农工作的状况？,a60a,下列各种情形，哪一种更符合你最近那份非农工作的状况,a60alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 自己是老板（或者是合伙人）
2 个体工商户
3 受雇于他人（有固定雇主）
4 劳务工/劳务派遣人员
5 零工、散工（无固定雇主的受雇者）
6 在自己家的生意/企业中工作/帮忙，领工资
7 在自己家的生意/企业中工作/帮忙，不领工资
8 自由职业者
9 其他"
224,入户调查,A60aa,下列各种情形，哪一种更符合您最近那份非农工作的状况？其他，请注明,a60aa,下列各种情形，哪一种更符合你最近那份非农工作的状况-其他，请注明,,
225,入户调查,A60a1,请问您雇有的雇员数是?,a60a1,下列各种情形，哪一种更符合你最近那份非农工作的状况-雇有雇员多少人,a60a1lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 雇有人数超过五位数"
226,入户调查,A60b,您最近那份非农工作是否与用人单位或雇主签订了书面劳动合同？,a60b,您最近那份非农工作是否与用人单位或雇主签订了书面劳动合同,a60blab,"-5 电话调查未调查
-1 不适用
1 没有签订劳动合同
2 签有无固定期限劳动合同
3 签有固定期限劳动合同"
227,入户调查,A60ba,您最近那份非农工作是否与用人单位或雇主签订了书面劳动合同？签有固定期限劳动合同，期限为多少个月,a60ba,签有固定期限劳动合同，期限为多少个月,a60balab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
228,入户调查,A60c,从您第一份非农工作到您最近那份非农工作，您一共工作了多少年？,a60c,从您第一份非农工作到您最近那份非农工作，您一共工作了多少年,a60clab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
229,入户调查,A60e,您最近那份非农工作的性质是？,a60e,您最近那份非农工作的性质是,a60elab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 全职工作
2 非全职工作"
230,入户调查,A60f,在您最近那份非农工作中，您的管理活动情况是：,a60f,在您最近那份非农工作中，您的管理活动情况是,a60flab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 只管别人，不受别人管理
2 既管理别人，又受别人管理
3 只受别人管理，不管理别人
4 既不管理别人，又不受别人管理"
231,入户调查,A60f1,请问您管理的人数是：,a60f1,在您最近那份非农工作中，您的管理活动情况是管多少人,a60f1lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 管理人数超过五位数"
232,入户调查,A60j,您最近那份非农工作的单位或公司的单位类型是：,a60j,您最近那份非农工作的单位或公司的单位类型是,a60jlab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 党政机关
2 企业
3 事业单位
4 社会团体、居/村委会
5 无单位/自雇（包括个体户）
6 军队
7 其他"
233,入户调查,A60ja,您最近那份非农工作的单位或公司的单位类型是：其他，请注明,a60ja,最近那份非农工作的单位或公司的单位类型是-其他，请注明,,
234,入户调查,A60k,您最近那份非农工作的单位或公司的所有制性质是：,a60k,您最近那份非农工作的单位或公司所有制性质是,a60klab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 国有或国有控股
2 集体所有或集体控股
3 私有/民营或私有/民营控股
4 港澳台资或港澳台资控股
5 外资所有或外资控股
6 其他"
235,入户调查,A60ka,您最近那份非农工作的单位或公司的所有制性质是：其他，请注明,a60ka,您最近那份非农工作的单位或公司所有制性质是-其他，请注明,,
236,入户调查,A60L,您最近那份非农工作的单位或公司有多少员工？,a60l,您最近那份非农工作的单位或公司有多少员工,a60llab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
99996 员工人数超过五位数"
237,入户调查,A60m,您在最近那份非农工作的工作单位或公司工作了多少年？,a60m,您在最近那份非农工作的工作单位或公司工作了多少年,a60mlab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
238,入户调查/电话调查,A611,您目前是否参加了以下社会保障项目？城市基本医疗保险/新型农村合作医疗保险/公费医疗,a611,您目前是否参加了以下社会保障项目-城市基本医疗保险/新型农村合作医疗保险/公费医疗,a61lab,"-3 拒绝回答
-2 不知道
-1 不适用
1 参加了
2 没有参加"
239,入户调查/电话调查,A612,您目前是否参加了以下社会保障项目？城市/农村基本养老保险,a612,您目前是否参加了以下社会保障项目-城市/农村基本养老保险,,
240,入户调查/电话调查,A613,您目前是否参加了以下社会保障项目？商业性医疗保险,a613,您目前是否参加了以下社会保障项目-商业性医疗保险,,
241,入户调查/电话调查,A614,您目前是否参加了以下社会保障项目？商业性养老保险,a614,您目前是否参加了以下社会保障项目-商业性养老保险,,
242,入户调查/电话调查,A62,您家2022年全年家庭总收入是多少,a62,您家去年（2022）全年家庭总收入,a62lab,"9999996 收入高于百万位数
9999997 不适用
9999998 不知道
9999999 拒绝回答"
243,入户调查/电话调查,A64,您家的家庭经济状况在所在地属于哪一档？,a64,您家的家庭经济状况在所在地属于哪一档？,a64lab,"-3 拒绝回答
-2 不知道
1 远低于平均水平
2 低于平均水平
3 平均水平
4 高于平均水平
5 远高于平均水平"
244,入户调查/电话调查,A65,您家现拥有几处房产？,a65,您家现拥有几处房产？,a65lab,"-3 拒绝回答
-2 不知道"
245,入户调查/电话调查,A66,您家是否拥有家用小汽车？,a66,您家是否拥有家用小汽车,a66lab,"-3 拒绝回答
-2 不知道
1 有
2 没有"
246,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）没有任何投资活动,a671,您家目前是否从事下列投资活动？-没有任何投资活动,a67lab,"-3 拒绝回答
-2 不知道
1 是
2 否"
247,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）股票,a672,您家目前是否从事下列投资活动？-股票,,
248,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）基金,a673,您家目前是否从事下列投资活动？-基金,,
249,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）债券,a674,您家目前是否从事下列投资活动？-债券,,
250,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）期货,a675,您家目前是否从事下列投资活动？-期货,,
251,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）权证,a676,您家目前是否从事下列投资活动？-权证,,
252,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）炒房,a677,您家目前是否从事下列投资活动？-炒房,,
253,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）外汇投资,a678,您家目前是否从事下列投资活动？-外汇投资,,
254,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）其他,a679,您家目前是否从事下列投资活动？-其他,,
255,入户调查/电话调查,A67a,您家目前是否从事下列投资活动？（多选）其他，请注明,a679a,您家目前是否从事下列投资活动？-其他，请注明,,
256,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）不知道,删除变量,,,
257,入户调查/电话调查,A67,您家目前是否从事下列投资活动？（多选）拒绝回答,删除变量,,,
258,入户调查/电话调查（随机）,A68,请问您有几个子女（包括继子继女、养子养女在内，包括已去世子女）？儿子,a681,您有几个儿子（包括继子继女、养子养女在内，包括已去世子女）,a68lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
0 没有"
259,入户调查/电话调查（随机）,A68,请问您有几个子女（包括继子继女、养子养女在内，包括已去世子女）？女儿,a682,您有几个女儿（包括继子继女、养子养女在内，包括已去世子女）,,
260,入户调查,A68a,请问您有几个（亲生）子女 (包括已去世子女)？儿子,a68a1,您有几个（亲生）儿子 (包括已去世子女),,
261,入户调查,A68a,请问您有几个（亲生）子女 (包括已去世子女)？女儿,a68a2,您有几个（亲生）女儿 (包括已去世子女),,
262,入户调查/电话调查（随机）,A68b,请问您有几个18岁以下未成年子女（包括继子继女、养子养女在内）？,a68b,您有几个18周岁以下未成年子女（包括继子继女、养子养女在内）,,
263,入户调查/电话调查,A69,您目前的婚姻状况是：,a69,您目前的婚姻状况,a69lab,"-3 拒绝回答
1 未婚
2 同居
3 初婚有配偶
4 再婚有配偶
5 分居未离婚
6 离婚
7 丧偶"
264,入户调查,A69a,现在您和您的配偶或同居伴侣住在一起吗？,a69a,您目前和您的配偶或同居伴侣住在一起吗,a69alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 住在一起
2 不住在一起，但同在一个城市
3 不住在一起，在同一个省的不同城市
4 不住在一起，在不同省
5 不住在一起，在不同国家"
265,入户调查,A70,您第一次结婚的时间是？,a70,您第一次结婚的时间,a70lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
9997 从未结婚"
266,入户调查,A71a,请问您目前的配偶或同居伴侣是哪一年出生的？,a71a,您目前的配偶或同居伴侣是哪一年出生的,a71alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
267,入户调查,A71b,请问您与目前的配偶是哪一年结婚的？,a71b,您与目前的配偶是哪一年结婚的,a71blab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
9997 从未结婚"
268,入户调查/电话调查,A72,您配偶或同居伴侣目前的最高教育程度是：,a72,您配偶或同居伴侣目前的最高教育程度,a72lab,"-3 拒绝回答
-2 不知道
-1 不适用
1 没有受过任何教育
2 私塾、扫盲班
3 小学
4 初中
5 职业高中
6 普通高中
7 中专
8 技校
9 大学专科（成人高等教育）
10 大学专科（正规高等教育）
11 大学本科（成人高等教育）
12 大学本科（正规高等教育）
13 研究生及以上
14 其他"
269,入户调查/电话调查,A72a,您配偶或同居伴侣目前的最高教育程度是：其他，请注明,a72a,您配偶或同居伴侣目前的最高教育程度-其他，请注明,,
270,入户调查,A73,您配偶或同居伴侣的政治面貌是：,a73,您配偶或同居伴侣的政治面貌,a73lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 群众
2 共青团员
3 民主党派
4 共产党员"
271,入户调查,A74,您配偶或同居伴侣目前的户口登记状况是：,a74,您配偶或同居伴侣目前的户口登记状况,a74lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 农业户口
2 非农业户口
3 居民户口（以前是农业户口）
4 居民户口（以前是非农业户口）
5 军籍
6 没有户口
7 其他"
272,入户调查,A74a,您配偶或同居伴侣目前的户口登记状况是：其他，请注明,a74a,您配偶或同居伴侣目前的户口登记状况-其他，请注明,,
273,入户调查,A75a,您配偶或同居伴侣去年（2022年）全年的总收入是,a75a,您配偶或同居伴侣去年（2022）全年的总收入,a75alab,"-5 电话调查未调查
9999996 收入高于百万位数
9999997 不适用
9999998 不知道
9999999 拒绝回答"
274,入户调查,A75b,您配偶或同居伴侣去年（2022年）全年的职业/劳动收入是,a75b,您配偶或同居伴侣去年（2022）全年的职业/劳动收入,a75blab,"-5 电话调查未调查
9999996 收入高于百万位数
9999997 不适用
9999998 不知道
9999999 拒绝回答"
275,入户调查,A76,您配偶或同居伴侣上一周的就业状况是？,a76,您配偶或同居伴侣上一周的就业状况,a76lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 未从事任何以获得经济收入为目的的工作
2 带薪休假，学习、临时停工或季节性歇业等
3 停薪休假，学习、临时停工或季节性歇业等
4 从事了以取得经济收入为目的的工作"
276,入户调查,A76aa,您配偶或同居伴侣上一周的就业状况是？一般每周的工作时间为多少小时？,a761,如果您配偶或同居伴侣上一周从事了以取得经济收入为目的的工作，一般每周工作时间是多少小时,a761lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
277,入户调查,A76a,在您配偶或同居伴侣有工作的时候，通常情况下，您配偶或同居伴侣一周的工作时间大,a76a,您配偶有工作的时候，一般每周的工作多少小时，包括加班时间,a76alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
278,入户调查,A77,您配偶或同居伴侣上一周没有工作的原因是什么？,a77,您配偶或同居伴侣上一周没有工作的原因,a77lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 在校学习
2 丧失劳动能力
3 毕业后未工作
4 因单位原因失去原工作
5 因个人原因失去原工作
6 承包土地被征用
7 离/退休
8 料理家务
9 其他"
279,入户调查,A77a,您配偶或同居伴侣上一周没有工作的原因是什么？其他，请注明,a77a,您配偶或同居伴侣上一周没有工作的原因-其他，请注明,,
280,入户调查,A78,到目前为止，您配偶或同居伴侣连续未工作的时间有多少个月？,a78,到目前为止，您配偶或同居伴侣连续未工作的时间有多少个月,a78lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
997 从未工作过"
281,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）未找过工作,a791,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-未找过工作,a79lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 是
2 否"
282,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）在职业介绍机构登记求职,a792,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-在职业介绍机构登记求职,,
283,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）委托亲友找工作,a793,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-委托亲友找工作,,
284,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）利用网络及其他媒体求职,a794,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-利用网络及其他媒体求职,,
285,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）参加招聘会、自己直接上门询问,a795,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-参加招聘会或自己直接上门询问,,
286,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？为自己经营做准备,a796,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-为自己经营做准备,,
287,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）其他,a797,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-其他,,
288,入户调查,A79a,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）其他，请注明,a797a,您配偶或同居伴侣在最近三月内采取过哪些方式寻找工作-其他，请注明,,
289,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）不知道,删除变量,,,
290,入户调查,A79,您配偶或同居伴侣在最近三个月内采取过以下哪些方式寻找工作？（多选）拒绝回答,删除变量,,,
291,入户调查,A80,有适合的工作，您配偶或同居伴侣能否在两周内开始工作？,a80,如有适合的工作，您配偶或同居伴侣能否在两周内开始工作,a80lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 能
2 不能"
292,入户调查,A81,您配偶或同居伴侣的工作经历及状况是？,a81,您配偶或同居伴侣的工作经历及状况,a81lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 目前从事非农工作
2 目前务农，曾经有过非农工作
3 目前务农，没有过非农工作
4 目前没有工作，而且只务过农
5 目前没有工作，曾经有过非农工作
6 从未工作过"
293,入户调查,A81a,您配偶或同居伴侣目前是否同时兼有多份工作？,a81a,您配偶或同居伴侣目前是否兼有多份工作,a81alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 没有
2 有"
294,入户调查,A81aa,一共兼有多少份工作？,a81aa,如果您配偶或同居伴侣兼有多份工作，共兼有多少份工作,a81aalab,"-5 电话调查未调查
-2 不知道
-1 不适用"
295,入户调查,A81b,那您配偶或同居伴侣目前最主要的工作大约占他/她职业收入的百分之多少？,a81b,您配偶或同居伴侣目前最主要的工作大约占他职业收入的百分之多少,a81blab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
0 最主要的工作是务农"
