CGSS2023编码表,,,,,,,
序号,调查方式,问卷题号,问卷题目,变量名,变量标签,取值标签,值标签
53,入户调查,A01013,目前是否与您住在一起？,a01302,第2个家庭成员目前是否与您住在一起,a013lab,"-5 电话调查未调查
-1 不适用
1 住在一起
2 不住在一起"
54,入户调查,A01013,目前是否与您住在一起？,a01303,第3个家庭成员目前是否与您住在一起,,
55,入户调查,A01013,目前是否与您住在一起？,a01304,第4个家庭成员目前是否与您住在一起,,
56,入户调查,A01013,目前是否与您住在一起？,a01305,第5个家庭成员目前是否与您住在一起,,
57,入户调查,A01013,目前是否与您住在一起？,a01306,第6个家庭成员目前是否与您住在一起,,
58,入户调查,A01013,目前是否与您住在一起？,a01307,第7个家庭成员目前是否与您住在一起,,
59,入户调查,A01013,目前是否与您住在一起？,a01308,第8个家庭成员目前是否与您住在一起,,
60,入户调查,A01013,目前是否与您住在一起？,a01309,第9个家庭成员目前是否与您住在一起,,
61,入户调查,A01013,目前是否与您住在一起？,a01310,第10个家庭成员目前是否与您住在一起,,
62,入户调查,A01013,目前是否与您住在一起？,a01311,第11个家庭成员目前是否与您住在一起,,
63,入户调查,A01013,目前是否与您住在一起？,a01312,第12个家庭成员目前是否与您住在一起,,
64,入户调查,A01013,目前是否与您住在一起？,a01313,第13个家庭成员目前是否与您住在一起,,
65,入户调查,A01013,目前是否与您住在一起？,a01314,第14个家庭成员目前是否与您住在一起,,
66,入户调查,A01013,目前是否与您住在一起？,a01315,第15个家庭成员目前是否与您住在一起,,
67,入户调查/电话调查,A2/gender,性别【访问员记录】,a2,性别,a2lab,"1 男
2 女"
68,入户调查/电话调查,A3,您的出生日期是什么？年,a3a,您的出生日期-年,a3lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道"
69,入户调查,A3,您的出生日期是什么？月,a3b,您的出生日期-月,,
70,入户调查,A3,您的出生日期是什么？日,a3c,您的出生日期-日,,
71,入户调查/电话调查,A4,您的民族是：,a4,您的民族,a4lab,"-3 拒绝回答
1 汉
2 蒙
3 满
4 回
5 藏
6 壮
7 维
8 其他"
72,入户调查/电话调查,A4/A4a,您的民族是：其他，请注明,a4a,您的民族-其他，请注明,,
73,入户调查/电话调查,A5,您的宗教信仰是什么？,a5,您的宗教信仰,a5lab,"-3 拒绝回答
1 不信仰宗教
11 佛教
12 道教
13 民间信仰（拜妈祖、关公等）
14 回教/伊斯兰教
15 天主教
16 基督教
17 东正教
18 其他基督教
19 犹太教
20 印度教
21 其他"
74,入户调查/电话调查,A5/A5a,您的宗教信仰是什么？其他，请注明,a5a,您的宗教信仰-其他，请注明,,
75,入户调查/电话调查（随机）,A6,您参加宗教活动的频繁程度是：,a6,您参加宗教活动的频繁程度是,a6lab,"1 从来没有参加过
2 一年不到1次
3 一年大概1到2次
4 一年几次
5 大概一月1次
6 一月2到3次
7 差不多每周都有
8 每周都有
9 一周几次"
76,入户调查/电话调查,A7a,您目前的最高教育程度是：,a7a,您目前的最高教育程度是（包括目前在读的）,a7alab,"-3 拒绝回答
1 没有受过任何教育
2 私塾、扫盲班
3 小学
4 初中
5 职业高中
6 普通高中
7 中专
8 技校
9 大学专科（成人高等教育）
10 大学专科（正规高等教育）
11 大学本科（成人高等教育）
12 大学本科（正规高等教育）
13 研究生及以上
14 其他"
77,入户调查/电话调查,A7a/A7a1,您目前的最高教育程度是：其他，请注明,a7aa,您目前的最高教育程度是-其他，请注明,,
78,入户调查/电话调查,A7b,您目前的最高教育程度是：,a7b,您目前的最高教育程度的状态是,a7blab,"-3 拒绝回答
-2 不知道
-1 不适用
1 正在读
2 辍学和中途退学
3 肄业
4 毕业"
79,入户调查,A7c,您已完成的最高学历是在哪一年获得的？,a7c,您已经完成的最高学历是哪一年获得,a7clab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用"
80,入户调查/电话调查,A8a,您个人去年（2022年）全年的总收入是多少？,a8a,您个人去年（2022）全年的总收入是多少,a8alab,"9999996 收入高于百万位数
9999997 不适用
9999998 不知道
9999999 拒绝回答"
81,入户调查,A8b,您个人去年（2022年）全年的职业/劳动收入是多少？,a8b,您个人去年（2022）全年的职业/劳动收入是多少,a8blab,"-5 电话调查未调查
9999996 收入高于百万位数
9999997 不适用
9999998 不知道
9999999 拒绝回答"
82,入户调查,A9,请问，您递交过加入中国共产党的申请书吗？,a9,请问，您递交过加入中国共产党的申请书吗,a9lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
1 未递交过
2 递交过"
83,入户调查,A9,请问，您递交过加入中国共产党的申请书吗？第一次递交的时间,a9a,第一次递交申请书的时间是,a9alab,"-5 电话调查未调查
-2 不知道
-1 不适用"
84,入户调查/电话调查,A10,目前的政治面貌是：,a10,您目前的政治面貌是,a10lab,"-3 拒绝回答
-2 不知道
1 群众
2 共青团员
3 民主党派
4 共产党员"
85,入户调查/电话调查,A10/A10a,目前的政治面貌是：入党时间是,a10a,您目前政治面貌是共产党员，入党时间,a10alab,"-3 拒绝回答
-2 不知道
-1 不适用"
86,入户调查/电话调查（随机）,A11,您现在住的这座住房的套内建筑面积是：,a11,您现在住的这座住房的套内建筑面积是,a11lab,"-3 拒绝回答
-2 不知道"
87,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?自己所有,a121,您现在这座房子的产权属于-自己所有,a12lab,"-3 拒绝回答
-2 不知道
1 是
2 否"
88,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?配偶所有,a122,您现在这座房子的产权属于-配偶所有,,
89,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?子女所有,a123,您现在这座房子的产权属于-子女所有,,
90,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?父母所有,a124,您现在这座房子的产权属于-父母所有,,
91,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?配偶父母所有,a125,您现在这座房子的产权属于-配偶父母所有,,
92,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?子女配偶所有,a126,您现在这座房子的产权属于-子女配偶所有,,
93,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?其他家人/亲戚所有,a127,您现在这座房子的产权属于-其他家人/亲戚所有,,
94,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?家人/亲戚以外的个人或单位所有，这所房子是租（借）来的,a128,您现在这座房子的产权属于-家人/亲戚以外的个人或单位所有，这所房子是租（借）来的,,
95,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?其他,a129,您现在这座房子的产权属于-其他,,
96,入户调查/电话调查（随机）,A12/A12a1,您现在这座房子的产权（部分或全部产权）属于谁（多选）?其他，请注明,a129a,您现在这座房子的产权属于-其他，请注明,,
97,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?不知道,删除变量,,,
98,入户调查/电话调查（随机）,A12,您现在这座房子的产权（部分或全部产权）属于谁（多选）?拒绝回答,删除变量,,,
99,入户调查/电话调查（随机）,A12a,目前您是否拥有（包括与他人共同拥有）房产（拥有产权）？,a12a,目前您是否拥有（包括与他人共同拥有）房产（拥有产权）,a12alab,"-3 拒绝回答
-2 不知道
1 是
2 否"
100,入户调查/电话调查（随机）,A12b,目前您总共拥有几处房产（包括与他人共同拥有）：,a12b,目前您总共拥有几处房产（包括与他人共同拥有）,a12blab,"-3 拒绝回答
-2 不知道
-1 不适用"
101,入户调查,A12c1,您（目前拥有的）各处房产的位置在哪？[省/自治区/直辖市],a12c1a,您（目前拥有的）第1处房产的位置-省/自治区/直辖市,s41lab,
102,入户调查,A12c1,您（目前拥有的）各处房产的位置在哪？[市+县/区],删除变量,,,
103,入户调查,A12c2,您（目前拥有的）各处房产的位置在哪？[省/自治区/直辖市],a12c2a,您（目前拥有的）第2处房产的位置-省/自治区/直辖市,s41lab,
104,入户调查,A12c2,您（目前拥有的）各处房产的位置在哪？[市+县/区],删除变量,,,
105,入户调查,A12c3,您（目前拥有的）各处房产的位置在哪？[省/自治区/直辖市],a12c3a,您（目前拥有的）第3处房产的位置-省/自治区/直辖市,s41lab,
106,入户调查,A12c3,您（目前拥有的）各处房产的位置在哪？[市+县/区],删除变量,,,
107,入户调查,A12c4,您（目前拥有的）各处房产的位置在哪？[省/自治区/直辖市],a12c4a,您（目前拥有的）第4处房产的位置-省/自治区/直辖市,s41lab,
108,入户调查,A12c4,您（目前拥有的）各处房产的位置在哪？[市+县/区],删除变量,,,
109,入户调查,A12c5,您（目前拥有的）各处房产的位置在哪？[省/自治区/直辖市],a12c5a,您（目前拥有的）第5处房产的位置-省/自治区/直辖市,s41lab,
110,入户调查,A12c5,您（目前拥有的）各处房产的位置在哪？[市+县/区],删除变量,,,
111,入户调查/电话调查,A13,您目前的身高是：(厘米),a13,您目前的身高是（厘米）,a13lab,"-3 拒绝回答
-2 不知道"
112,入户调查/电话调查,A14,您目前的体重是：（斤）,a14,您目前的体重是（斤）,a14lab,"-3 拒绝回答
-2 不知道"
113,入户调查/电话调查,A15,您觉得您目前的身体健康状况是：,a15,您觉得您目前的身体健康状况是,a15lab,"-3 拒绝回答
-2 不知道
1 很不健康
2 比较不健康
3 一般
4 比较健康
5 很健康"
114,入户调查/电话调查,A16,在过去的四周中，由于健康问题影响到您的工作或其他日常活动的频繁程度是：,a16,在过去的四周中，由于健康问题影响到您的工作或其他日常活动的频繁程度是,a16lab,"-2 不知道
1 总是
2 经常
3 有时
4 很少
5 从不"
115,入户调查/电话调查,A17,在过去的四周中，您感到心情抑郁或沮丧的频繁程度是：,a17,在过去的四周中，您感到心情抑郁或沮丧的频繁程度,a17lab,"-3 拒绝回答
-2 不知道
1 总是
2 经常
3 有时
4 很少
5 从不"
116,入户调查/电话调查,A18,您目前的户口登记状况是：,a18,您目前的户口登记状况是,a18lab,"-3 拒绝回答
1 农业户口
2 非农业户口
3 居民户口（以前是农业户口）
4 居民户口（以前是非农业户口）
5 军籍
6 没有户口
7 其他"
117,入户调查/电话调查,A18/A18a,您目前的户口登记状况是：其他，请注明,a18a,您目前的户口登记状况是-其他，请注明,,
118,入户调查,A19,您（目前）的非农户口是哪一年获得的？,a19,您目前的非农户口是哪一年获得的,a19lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
9997 自最初/出生就是"
119,入户调查,A19a,您是哪一年转为居民户口的？,a19a,您是哪一年转为居民户口,a19alab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
9997 自最初/出生就是"
120,入户调查,A20,您获得非农户口的途径是什么？,a20,您获得非农户口的途径,a20lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
-1 不适用
1 升学
2 参军
3 工作（招工等）
4 转干
5 征地（包括村改居）
6 家属随转（包括通过婚姻）
7 购买，或者通过购房
8 户口改革，当地不再有农业户口
9 其他"
121,入户调查,A20,您获得非农户口的途径是什么？其他，请注明,a20a,您获得非农户口的途径-其他，请注明,,
122,入户调查,A21,您目前的户口登记地是：,a21,您目前的户口登记地,a21lab,"-5 电话调查未调查
1 本乡（镇、街道）
2 本县（市、区）其他乡（镇、街道）
3 本区/县/县级市以外
4 户口待定"
123,入户调查,A22,您目前的户口登记地是：[省/自治区/直辖市],a221,您目前的户口登记地-省/自治区/直辖市,s41lab,
124,入户调查,A22,您目前的户口登记地是：[市+县/区],删除变量,,,
125,入户调查,A25,您是哪一年来到本地（本区/县/县级市）居住的？,a25,您是哪一年来到本地（本区/县/县级市）居住的,a25lab,"-5 电话调查未调查
9996 在本地只是短期居住，如探亲或学生放暑假回家
9997 自出生起一直就住在本地"
126,入户调查/电话调查,A25a,您所居住的地区属于什么类型：,a25a,您所居住的地区属于什么类型,a25alab,"-3 拒绝回答
-2 不知道
1 城市中心地区
2 城市边缘地区或城乡结合部
3 镇
4 农村"
127,入户调查/电话调查（随机）,A281,过去一年，您对以下媒体的使用情况是：报纸,a281,过去一年，您对以下媒体的使用情况是-报纸,a28lab,"-3 拒绝回答
-2 不知道
1 从不
2 很少
3 有时
4 经常
5 非常频繁"
128,入户调查/电话调查（随机）,A282,过去一年，您对以下媒体的使用情况是：杂志,a282,过去一年，您对以下媒体的使用情况是-杂志,,
129,入户调查/电话调查（随机）,A283,过去一年，您对以下媒体的使用情况是：广播,a283,过去一年，您对以下媒体的使用情况是-广播,,
130,入户调查/电话调查（随机）,A284,过去一年，您对以下媒体的使用情况是：电视,a284,过去一年，您对以下媒体的使用情况是-电视,,
131,入户调查/电话调查（随机）,A285,过去一年，您对以下媒体的使用情况是：互联网（用手机、电脑、平板、智能穿戴设备等上网）,a285,过去一年，您对以下媒体的使用情况是-互联网（用手机、电脑、平板、智能穿戴设备等上网）,,
132,入户调查/电话调查（随机）,A29,在以上媒体中，哪个是您最主要的信息来源？,a29,以上媒体中哪个是您最主要的信息来源,a29lab,"-3 拒绝回答
-2 不知道
-1 不适用
1 报纸
2 杂志
3 广播
4 电视
5 互联网（用手机、电脑、平板、智能穿戴设备等上网）"
133,入户调查/电话调查（随机）,A301,过去一年，您是否经常在空闲时间从事以下活动？看电视或者看碟,a3001,过去一年，您是否常在空闲时间从事以下活动-看电视或看碟,a30lab,"-3 拒绝回答
-2 不知道
1 每天
2 一周数次
3 一月数次
4 一年数次或更少
5 从不"
134,入户调查/电话调查（随机）,A302,过去一年，您是否经常在空闲时间从事以下活动？出去看电影,a3002,过去一年，您是否常在空闲时间从事以下活动-出去看电影,,
